Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
open browser,,,,18-08-2026 16:05:27,18-08-2026 16:05:32,4.890s,FAILED
,,,,,,,
Test Cases/add new test case,,,,18-08-2026 16:05:31,18-08-2026 16:05:32,0.749s,FAILED
"openBrowser("""")",,,,18-08-2026 16:05:31,18-08-2026 16:05:32,0.725s,FAILED
